position	rank	score	title	year	genre	mpaa	imdb
276		95.4030009	Henry V (British)	1944	Adventure	N/A	http://www.imdb.com/title/tt0036910/
277	170	95.40000935	The Ten Commandments	1956	Fantasy	G	http://us.imdb.com/title/tt0049833/
278	171	95.40000899	Pinocchio	1940	Fantasy	G	http://www.imdb.com/title/tt0032910/
279	172	95.40000702	The Longest Day	1962	War Drama	G	http://us.imdb.com/title/tt0056197/
280	173	95.40000671	Little Big Man	1970	Western	PG	http://us.imdb.com/title/tt0065988/
281		95.40000405	Jules and Jim (French)	1961	Drama	N/A	http://us.imdb.com/title/tt0055032/
282		95.40000272	A Night to Remember (British)	1958	Adventure	N/A	http://www.imdb.com/title/tt0051994/
283	174	95.40000267	Meet Me in St. Louis	1944	Musical	N/A	http://www.imdb.com/title/tt0037059/
284	175	95.40000246	Fitzcarraldo	1982	Adventure	PG	http://www.imdb.com/title/tt0083946/
285	176	95.40000226	Lost Horizon	1937	Fantasy	N/A	http://www.imdb.com/title/tt0029162/
286	177	95.40000216	Foreign Correspondent	1940	Suspense	N/A	http://www.imdb.com/title/tt0032484/
287		95.40000212	If... (British)	1968	Drama	R	http://www.imdb.com/title/tt0063850/
288	178	95.4000021	On the Town	1949	Musical	N/A	http://www.imdb.com/title/tt0041716/
289	179	95.40000197	A Star Is Born	1954	Drama	PG	http://www.imdb.com/title/tt0047522/
290		95.40000194	The Leopard (French-Italian)	1963	Drama	PG	http://www.imdb.com/title/tt0057091/
291		95.40000193	Mon Oncle (French)	1958	Comedy	N/A	http://www.imdb.com/title/tt0050706/
292		95.40000177	Hamlet (British)	1948	Drama	N/A	http://www.imdb.com/title/tt0040416/
293	180	95.40000175	The Train	1964	Drama	N/A	http://www.imdb.com/title/tt0059825/
294	181	95.40000167	Destry Rides Again	1939	Western	N/A	http://us.imdb.com/title/tt0031225/
295	182	95.40000158	And Then There Were None	1945	Mystery	N/A	http://www.imdb.com/title/tt0037515/
296		95.40000138	Stolen Kisses (French)	1968	Comedy-Drama	R	http://www.imdb.com/title/tt0062695/
297	183	95.40000122	Captains Courageous	1937	Adventure	N/A	http://www.imdb.com/title/tt0028691/
298	184	95.40000106	The Miracle of Morgan's Creek	1944	Comedy	N/A	http://www.imdb.com/title/tt0037077/
299		95.40000103	L'Age d'Or (French)	1930	Fantasy	N/A	http://www.imdb.com/title/tt0021577/
300	185	95.40000093	El Norte	1984	Drama	R	http://www.imdb.com/title/tt0085482/
301		95.40000089	Ivan the Terrible, Part One (Russian)	1945	Biography	N/A	http://www.imdb.com/title/tt0037824/
302		95.40000081	The Four Feathers (British)	1939	Adventure	N/A	http://www.imdb.com/title/tt0031334/
303		95.40000081	Odd Man Out (British)	1947	Suspense	N/A	http://www.imdb.com/title/tt0039677/
304	186	95.40000081	The Prisoner of Zenda	1937	Adventure	N/A	http://www.imdb.com/title/tt0029442/
305		95.4000008	The Garden of the Finzi-Continis (Italian)	1970	Drama	R	http://www.imdb.com/title/tt0065777/
306	187	95.40000074	A Raisin in the Sun	1961	Drama	N/A	http://www.imdb.com/title/tt0055353/
307		95.40000073	The Official Story (Argentine)	1985	Drama	R	http://www.imdb.com/title/tt0089276/
308	188	95.40000072	The Song of Bernadette	1943	Fantasy	N/A	http://www.imdb.com/title/tt0036377/
309	189	95.40000056	David Copperfield	1935	Drama	N/A	http://www.imdb.com/title/tt0026266/
310		95.40000044	Sawdust and Tinsel (Swedish)	1953	Drama	N/A	http://www.imdb.com/title/tt0045848/
311	190	95.40000027	The Southerner	1945	Drama	N/A	http://us.imdb.com/title/tt0038107/
312	191	95.4000002	They Won't Forget	1937	Crime Drama	N/A	http://www.imdb.com/title/tt0029658/
313		95.40000012	The Stars Look Down (British)	1939	Drama	N/A	http://www.imdb.com/title/tt0031976/
314	192	95.40000016	Louisiana Story	1948	Documentary	N/A	http://www.imdb.com/title/tt0040550/
315	193	95.40000001	Woody Guthrie: Hard Travelin'	1984	Documentary	N/A	http://www.imdb.com/title/tt0373464/
316	194	95.2380146	Tootsie	1982	Comedy	PG	http://www.imdb.com/title/tt0084805/
317	195	95.2180046	Giant	1956	Drama	G	http://www.imdb.com/title/tt0049261/
318	196	95.20300117	Dinner at Eight	1933	Comedy-Drama	N/A	http://www.imdb.com/title/tt0023948/
319	197	95.20001501	Mary Poppins	1964	Fantasy	G	http://us.imdb.com/title/tt0058331/
320	198	95.20000883	Mean Streets	1973	Crime Drama	R	http://www.imdb.com/title/tt0070379/
321	199	95.20000393	The Verdict	1982	Drama	R	http://www.imdb.com/title/tt0084855/
322		95.2000039	Belle de Jour (French-Italian)	1967	Drama	R	http://www.imdb.com/title/tt0061395/
323	200	95.20000364	Woodstock	1970	Documentary	R	http://www.imdb.com/title/tt0066580/
324	201	95.20000356	Adam's Rib	1949	Comedy	N/A	http://us.imdb.com/title/tt0041090/
325		95.20000302	Babette's Feast (Danish)	1987	Drama	G	http://www.imdb.com/title/tt0092603/
326	202	95.20000288	The Thin Blue Line	1988	Documentary	N/A	http://us.imdb.com/title/tt0096257/
327	203	95.20000226	Gunga Din	1939	Adventure	N/A	http://www.imdb.com/title/tt0031398/
328	204	95.20000222	The Pride of the Yankees	1942	Biography	N/A	http://www.imdb.com/title/tt0035211/
329	205	95.20000174	Pride and Prejudice	1940	Drama	N/A	http://www.imdb.com/title/tt0032943/
330	206	95.20000169	Ride the High Country	1962	Western	N/A	http://www.imdb.com/title/tt0056412/
331		95.20000157	Shoot the Piano Player (French)	1960	Crime Drama	N/A	http://www.imdb.com/title/tt0054389/
332	207	95.20000133	Gimme Shelter	1970	Documentary	R	http://www.imdb.com/title/tt0065780/
333	208	95.20000129	Viva Zapata!	1952	Biography	N/A	http://www.imdb.com/title/tt0045296/
334	209	95.2000012	The Pawnbroker	1964	Drama	N/A	http://www.imdb.com/title/tt0059575/
335	210	95.2000012	Stage Door	1937	Drama	N/A	http://www.imdb.com/title/tt0029604/
336	211	95.20000113	Going My Way	1944	Drama	N/A	http://us.imdb.com/title/tt0036872/
337	212	95.20000111	A Letter to Three Wives	1949	Drama	N/A	http://www.imdb.com/title/tt0041587/
338	213	95.20000108	A Tree Grows in Brooklyn	1945	Drama	N/A	http://www.imdb.com/title/tt0038190/
339		95.20000101	The Gospel According to St. Matthew (Italian-French)	1964	Biography	N/A	http://www.imdb.com/title/tt0058715/
340	214	95.20000081	The Talk of the Town	1942	Comedy	N/A	http://www.imdb.com/title/tt0035417/
341		95.20000069	Seven Beauties (Italian)	1976	War Drama	R	http://www.imdb.com/title/tt0075040/
342	215	95.20000059	America, America	1963	Drama	N/A	http://www.imdb.com/title/tt0056825/
343	216	95.20000053	Unfaithfully Yours	1948	Comedy	N/A	http://www.imdb.com/title/tt0040919/
344	217	95.2000005	4 Little Girls	1997	Documentary	N/A	http://www.imdb.com/title/tt0118540/
345	218	95.2000004	Lady for a Day	1933	Comedy-Drama	N/A	http://www.imdb.com/title/tt0024240/
346		95.20000015	The Magic Box (British)	1951	Biography	N/A	http://www.imdb.com/title/tt0043769/
347	219	95.10200135	The Bank Dick	1940	Comedy	N/A	http://www.imdb.com/title/tt0032234/
348	220	95.00301016	Bambi	1942	Fantasy	G	http://www.imdb.com/title/tt0034492/
349		95.00300254	Atlantic City (Canadian-French)	1980	Drama	R	http://www.imdb.com/title/tt0080388/
350	221	95.00300154	All the King's Men	1949	Drama	N/A	http://us.imdb.com/title/tt0041113/
351	222	95.00002022	The Cider House Rules	1999	Drama	PG-13	http://us.imdb.com/title/tt0124315/
352	223	95.00000817	Kramer vs. Kramer	1979	Drama	PG	http://www.imdb.com/title/tt0079417/
353	224	95.00000373	A Shot in the Dark	1964	Comedy	PG	http://www.imdb.com/title/tt0058586/
354	225	95.00000292	The Postman Always Rings Twice	1946	Drama	N/A	http://www.imdb.com/title/tt0038854/
355		95.00000287	The Tin Drum (German)	1979	Fantasy	R	http://www.imdb.com/title/tt0078875/
356	226	95.00000232	Lenny	1974	Biography	R	http://www.imdb.com/title/tt0071746/
357	227	95.00000199	Grand Hotel	1932	Drama	N/A	http://www.imdb.com/title/tt0022958/
358		95.00000194	Knife in the Water (Polish)	1962	Drama	N/A	http://www.imdb.com/title/tt0056291/
359	228	95.00000172	That's Entertainment!	1974	Musical	G	http://www.imdb.com/title/tt0072272/
360	229	95.00000149	The Defiant Ones	1958	Adventure	N/A	http://www.imdb.com/title/tt0051525/
361	230	95.00000134	The Band Wagon	1953	Musical	N/A	http://www.imdb.com/title/tt0045537/
362	231	95.00000133	42nd Street	1933	Musical	N/A	http://www.imdb.com/title/tt0024034/
363	232	95.0000011	Friendly Persuasion	1956	Drama	N/A	http://www.imdb.com/title/tt0049233/
364	233	95.0000008	Separate Tables	1958	Drama	N/A	http://www.imdb.com/title/tt0052182/
365		95.00000065	Tunes of Glory (British)	1960	Drama	N/A	http://www.imdb.com/title/tt0054412/
366		95.00000061	Danton (Polish-French)	1982	Drama	PG	http://www.imdb.com/title/tt0083789/
367	234	95.00000055	My Architect	2003	Documentary	N/A	http://www.imdb.com/title/tt0373175/
368		95.00000052	Tight Little Island (Whisky Galore!) (British)	1949	Comedy	N/A	http://www.imdb.com/title/tt0042040/
369		95.00000042	The River (Indian)	1951	Drama	N/A	http://www.imdb.com/title/tt0043972/
370		95.00000041	Marat / Sade (British)	1966	Drama	N/A	http://www.imdb.com/title/tt0060668/
371		95.00000036	The Private Life of Henry VIII (British)	1933	Biography	N/A	http://www.imdb.com/title/tt0024473/
372		95.00000031	Moonlighting (British)	1982	Drama	PG	http://www.imdb.com/title/tt0084354/
373		95.00000019	Othello (British)	1965	Drama	N/A	http://www.imdb.com/title/tt0059555/
374	235	94.90200425	Five Easy Pieces	1970	Drama	R	http://www.imdb.com/title/tt0065724/
375	236	94.80000749	Dumbo	1941	Fantasy	G	http://www.imdb.com/title/tt0033563/
376		94.80000539	Howards End (British)	1992	Drama	PG	http://www.imdb.com/title/tt0104454/
377		94.80000206	The Fast Runner (Canadian/Inuit)	2002	Drama	R	http://www.imdb.com/title/tt0285441/
378		94.80000194	Triumph of the Will (German)	1934	Documentary	N/A	http://www.imdb.com/title/tt0025913/
379	237	94.80000192	On the Beach	1959	Drama	N/A	http://www.imdb.com/title/tt0053137/
380	238	94.80000113	Julia	1977	Drama	PG	http://www.imdb.com/title/tt0076245/
381		94.80000098	Swept Away... by an unusual destiny in the blue sea of August (Italian)	1974	Drama	R	http://www.imdb.com/title/tt0073817/
382	239	94.80000088	National Velvet	1944	Drama	G	http://www.imdb.com/title/tt0037120/
383	240	94.80000077	Life with Father	1947	Comedy	N/A	http://www.imdb.com/title/tt0039566/
384	241	94.80000053	Lili	1953	Musical	G	http://www.imdb.com/title/tt0046000/
385		94.80000053	Yesterday, Today and Tomorrow (Italian)	1963	Comedy	N/A	http://www.imdb.com/title/tt0057171/
386	242	94.80000049	The Sundowners	1960	Drama	N/A	http://www.imdb.com/title/tt0054353/
387	243	94.80000048	The Life of Emile Zola	1937	Biography	N/A	http://us.imdb.com/title/tt0029146/
388	244	94.80000046	Follow the Fleet	1936	Musical	N/A	http://www.imdb.com/title/tt0027630/
389	245	94.80000041	Sherman's March	1986	Documentary	N/A	http://www.imdb.com/title/tt0091943/
390	246	94.80000034	The Lives of a Bengal Lancer	1935	Adventure	N/A	http://www.imdb.com/title/tt0026643/
391	247	94.80000029	Abe Lincoln in Illinois	1940	Biography	N/A	http://www.imdb.com/title/tt0032181/
392		94.80000027	Vincent, Francois, Paul and the Others (French)	1974	Drama	N/A	http://www.imdb.com/title/tt0072368/
393		94.80000014	Butley (British)	1974	Drama	R	http://www.imdb.com/title/tt0071260/
394	248	94.80000002	World Without Sun	1964	Documentary	N/A	http://www.imdb.com/title/tt0058364/
395	249	94.60000643	Terms of Endearment	1983	Comedy-Drama	PG	http://us.imdb.com/title/tt0086425/
396	250	94.60000452	The China Syndrome	1979	Suspense	PG	http://www.imdb.com/title/tt0078966/
397	251	94.60000208	The Stunt Man	1980	Action	R	http://www.imdb.com/title/tt0081568/
398		94.60000149	Tom Jones (British)	1963	Comedy	N/A	http://us.imdb.com/title/tt0057590/
399	252	94.60000143	The Front	1976	Comedy-Drama	PG	http://www.imdb.com/title/tt0074554/
400	253	94.60000108	Little Women	1933	Drama	N/A	http://us.imdb.com/title/tt0024264/
401	254	94.60000107	Lust for Life	1956	Biography	N/A	http://www.imdb.com/title/tt0049456/
402	255	94.60000101	They Were Expendable	1945	War Drama	N/A	http://www.imdb.com/title/tt0038160/
403		94.60000096	Small Change (French)	1976	Drama	PG	http://www.imdb.com/title/tt0074152/
404	256	94.60000062	Ship of Fools	1965	Drama	N/A	http://www.imdb.com/title/tt0059712/
405	257	94.60000056	Medium Cool	1969	Drama	R	http://www.imdb.com/title/tt0064652/
406	258	94.60000053	Anna Karenina	1935	Drama	N/A	http://www.imdb.com/title/tt0026071/
407		94.60000041	The Innocent (Italian)	1976	Drama	R	http://www.imdb.com/title/tt0074686/
408		94.60000009	Circle of Deceit (French-German)	1981	War Drama	R	http://www.imdb.com/title/tt0082429/
409		94.60000003	The Overcoat (Russian)	1959	Drama	N/A	http://www.imdb.com/title/tt0053274/
410	259	94.4560029	The Birth of a Nation (Silent)	1915	Drama	N/A	http://www.imdb.com/title/tt0004972/
411	260	94.40000327	Seven Brides for Seven Brothers	1954	Musical	G	http://www.imdb.com/title/tt0047472/
412	261	94.40000162	Father of the Bride	1950	Comedy	N/A	http://www.imdb.com/title/tt0042451/
413	262	94.40000123	Anastasia	1956	Drama	N/A	http://www.imdb.com/title/tt0048947/
414	263	94.4000012	Topkapi	1964	Crime Drama	N/A	http://us.imdb.com/title/tt0058672/
415	264	94.40000099	Songcatcher	2001	Drama	PG-13	http://www.imdb.com/title/tt0210299/
416	265	94.40000036	The Lost Patrol	1934	Adventure	N/A	http://www.imdb.com/title/tt0025423/
417		94.40000018	Major Barbara (British)	1941	Comedy	N/A	http://www.imdb.com/title/tt0033868/
418	266	94.20000748	Little Women	1994	Drama	PG	http://www.imdb.com/title/tt0110367/
419	267	94.20000706	Moonstruck	1987	Comedy-Drama	PG	http://www.imdb.com/title/tt0093565/
420	268	94.20000463	Bananas	1971	Comedy	PG-13	http://www.imdb.com/title/tt0066808/
421	269	94.20000298	20,000 Leagues Under the Sea	1954	Science Fiction	G	http://www.imdb.com/title/tt0046672/
422	270	94.20000209	Gigi	1958	Musical	G	http://www.imdb.com/title/tt0051658/
423	271	94.20000085	The President's Analyst	1967	Comedy	PG	http://www.imdb.com/title/tt0062153/
424	272	94.20000062	An Unmarried Woman	1978	Drama	R	http://www.imdb.com/title/tt0078444/
425	273	94.20000006	The Golden Age of Comedy	1957	Compilation	N/A	http://www.imdb.com/title/tt0129119/
426	274	94.00000026	Edge of the City	1957	Drama	N/A	http://www.imdb.com/title/tt0050347/
427		94.00000013	Seven Days to Noon (British)	1950	Suspense	N/A	http://www.imdb.com/title/tt0042949/
428	275	93.80000743	The World According to Garp	1982	Comedy-Drama	R	http://www.imdb.com/title/tt0084917/
429		93.80000619	Yellow Submarine (British)	1968	Musical	G	http://www.imdb.com/title/tt0063823/
430		93.60000122	Shoah (French)	1985	Documentary	N/A	http://www.imdb.com/title/tt0090015/
431	276	93.60000062	She Done Him Wrong	1933	Comedy	N/A	http://www.imdb.com/title/tt0024548/
432	277	93.60000048	Petulia	1968	Drama	R	http://www.imdb.com/title/tt0063426/
433	278	93.60000033	Cavalcade	1933	Drama	N/A	http://us.imdb.com/title/tt0023876/
434	279	93.40000064	Bite the Bullet	1975	Western	PG	http://www.imdb.com/title/tt0072705/
435	280	93.20000121	The Decalogue (Polish)	1989	Drama	N/A	http://www.imdb.com/title/tt0092337/
436	281	92.60000002	30 Years of Fun	1963	Comedy	N/A	http://www.imdb.com/title/tt0056799/
437		92.20000006	Three Sisters (British)	1970	Drama	PG	http://www.imdb.com/title/tt0066454/
438		90.11000019	Nayakan (Indian)	1987	Crime Drama	N/A	http://www.imdb.com/title/tt0093603/
439	282	88.49713586	The Godfather	1972	Crime Drama	R	http://us.imdb.com/title/tt0068646/
440	283	88.20011891	The Lord of the Rings: The Return of the King	2003	Fantasy	PG-13	http://www.imdb.com/title/tt0167260/
441	284	88.20000002	The Good Fight	1983	Documentary	N/A	http://www.imdb.com/title/tt0085610/
442	285	87.88517532	Star Wars	1977	Science Fiction	PG	http://www.imdb.com/title/tt0076759/
443	286	87.80517447	Pulp Fiction	1994	Crime Drama	R	http://www.imdb.com/title/tt0110912/
444	287	87.80012658	The Lord of the Rings: The Two Towers	2002	Fantasy	PG-13	http://www.imdb.com/title/tt0167261/
445		87.80003468	The Good, the Bad, and the Ugly (Italian-Spanish)	1966	Western	R	http://www.imdb.com/title/tt0060196/
446		87.80003157	City of God (Brazilian)	2002	Drama	R	http://www.imdb.com/title/tt0317248/
447	288	87.60002287	Once Upon a Time in the West (U.S.-Italian)	1968	Western	PG-13	http://www.imdb.com/title/tt0064116/
448		87.60000243	The Kingdom (Danish)	1994	Drama	N/A	http://www.imdb.com/title/tt0108906/
449		87.60000024	Sundays and Cybele (French)	1962	Drama	N/A	http://www.imdb.com/title/tt0055910/
450	289	87.43511647	The Silence of the Lambs	1991	Suspense	R	http://www.imdb.com/title/tt0102926/
451	290	87.40607459	Goodfellas	1990	Crime Drama	R	http://www.imdb.com/title/tt0099685/
452		87.40006555	Am�lie (French-German)	2001	Comedy	R	http://www.imdb.com/title/tt0211915/
453	291	87.27206991	Apocalypse Now	1979	War Drama	R	http://www.imdb.com/title/tt0078788/
454	292	87.26604231	To Kill a Mockingbird	1962	Drama	N/A	http://www.imdb.com/title/tt0056592/
455	293	87.20000066	The Times of Harvey Milk	1984	Documentary	N/A	http://www.imdb.com/title/tt0088275/
456	294	87.2000006	Promises	2001	Documentary	N/A	http://www.imdb.com/title/tt0073195/
457	295	87.20000048	Hearts and Minds	1974	Documentary	R	http://www.imdb.com/title/tt0071604/
458	296	87.20000021	Make Way for Tomorrow	1937	Drama	N/A	http://www.imdb.com/title/tt0029192/
459	297	87.05407079	A Clockwork Orange	1971	Science Fiction	R	http://www.imdb.com/title/tt0066921/
460	298	87.03301554	The Manchurian Candidate	1962	Suspense	PG-13	http://www.imdb.com/title/tt0056218/
461	299	87.00011825	American Beauty	1999	Drama	R	http://www.imdb.com/title/tt0169547/
462	300	87.00006991	Apocalypse Now Redux	2001	War Drama	R	http://www.imdb.com/title/tt0078788/
463		87.00004524	The Pianist (French-German-Polish-British)	2002	Biography	R	http://www.imdb.com/title/tt0253474/
464		87.00003951	Spirited Away (Japanese)	2001	Anime	PG	http://www.imdb.com/title/tt0245429/
465		87.00003104	Das Boot (German)	1981	War Drama	R	http://www.imdb.com/title/tt0082096/
466		87.00001881	Downfall (German)	2004	War Drama	R	http://www.imdb.com/title/tt0363163/
467		87.00001837	Hotel Rwanda (South African-British-Italian)	2004	Drama	PG-13	http://www.imdb.com/title/tt0395169/
468		87.00000115	The World of Apu (Indian)	1959	Drama	N/A	http://www.imdb.com/title/tt0052572/
469		87.00000062	I Am Cuba (Russian-Cuban)	1964	Adventure	N/A	http://www.imdb.com/title/tt0058604/
470		87.0000003	The Browning Version (British)	1951	Drama	N/A	http://www.imdb.com/title/tt0043362/
471		87.00000002	In for Treatment (Netherlands)	1979	Drama	N/A	http://www.imdb.com/title/tt0079674/
472	301	86.8031276	Saving Private Ryan	1998	War Drama	R	http://www.imdb.com/title/tt0120815/
473	302	86.80307417	L.A. Confidential	1997	Crime Drama	R	http://www.imdb.com/title/tt0119488/
474		86.80004105	Life is Beautiful (Italian)	1997	Comedy-Drama	PG-13	http://www.imdb.com/title/tt0091541/
475	303	86.8030116	The Great Dictator	1940	Comedy	G	http://www.imdb.com/title/tt0032553/
476	304	86.80004729	Finding Nemo	2003	Family	G	http://www.imdb.com/title/tt0266543/
477		86.80001521	Cinema Paradiso (Italian-French)	1988	Drama	PG	http://www.imdb.com/title/tt0095765/
478	305	86.80001255	Notorious	1946	Suspense	N/A	http://www.imdb.com/title/tt0038787/
479		86.80000533	The Wages of Fear (French-Italian)	1952	Suspense	N/A	http://www.imdb.com/title/tt0046268/
480	306	86.80000513	The Godfather: The Complete Epic, 1902-1958	1981	Crime Drama	R	http://www.imdb.com/title/tt0150742/
