position	rank	score	title	year	genre	mpaa	imdb
1740		83.40000006	Cat and Mouse (French)	1975	Mystery	PG	http://www.imdb.com/title/tt0072776/
1741		83.40000005	Simba (British)	1955	Adventure	R	http://www.imdb.com/title/tt0048620/
1742	1086	83.40000004	Northern Lights	1979	Drama	N/A	http://www.imdb.com/title/tt0078008/
1743		83.40000004	Moving the Mountain (British)	1994	Documentary	N/A	http://www.imdb.com/title/tt0314353/
1744		83.40000003	Crazy Desire (Italian)	1964	Comedy-Drama	N/A	http://www.imdb.com/title/tt0056665/
1745	1087	83.20001188	Nurse Betty	2000	Comedy-Drama	R	http://www.imdb.com/title/tt0171580/
1746	1088	83.20001166	The Karate Kid	1984	Comedy-Drama	PG	http://www.imdb.com/title/tt0087538/
1747		83.20000946	Diamonds Are Forever (British)	1971	Action	PG	http://www.imdb.com/title/tt0066995/
1748	1089	83.20000829	Hidalgo	2004	Adventure	PG-13	http://www.imdb.com/title/tt0317648/
1749	1090	83.20000811	Cocoon	1985	Science Fiction	PG-13	http://www.imdb.com/title/tt0088933/
1750	1091	83.20000675	Sea of Love	1989	Crime Drama	R	http://www.imdb.com/title/tt0098273/
1751	1092	83.20000491	Arthur	1981	Comedy	PG	http://www.imdb.com/title/tt0082031/
1752	1093	83.20000348	James and the Giant Peach	1996	Fantasy	PG	http://www.imdb.com/title/tt0116683/
1753		83.20000284	Peter's Friends (British)	1992	Comedy-Drama	R	http://www.imdb.com/title/tt0105130/
1754	1094	83.20000066	Under the Volcano	1984	Drama	R	http://www.imdb.com/title/tt0088322/
1755	1095	83.20000056	Junior Bonner	1972	Western	PG	http://us.imdb.com/title/tt0068786/
1756	1096	83.2000005	A Guide for the Married Man	1967	Comedy	PG	http://www.imdb.com/title/tt0061736/
1757		83.20000046	The Apprenticeship of Duddy Kravitz (Canadian)	1974	Comedy-Drama	PG	http://www.imdb.com/title/tt0071155/
1758	1097	83.20000039	Paris Trout	1991	Drama	R	http://www.imdb.com/title/tt0102638/
1759	1098	83.20000036	Cinderella Liberty	1973	Drama	R	http://www.imdb.com/title/tt0069883/
1760	1099	83.20000031	Kim	1950	Adventure	G	http://www.imdb.com/title/tt0042644/
1761		83.20000025	Such a Gorgeous Kid Like Me (French)	1972	Comedy	R	http://www.imdb.com/title/tt0022100/
1762	1100	83.20000024	Lovers and Other Strangers	1970	Comedy	PG	http://www.imdb.com/title/tt0031455/
1763	1101	83.20000021	Light in the Piazza	1962	Drama	N/A	http://www.imdb.com/title/tt0338188/
1764	1102	83.2000002	Viva Villa!	1934	Biographical	N/A	http://www.imdb.com/title/tt0025948/
1765	1103	83.20000018	Between the Lines	1977	Drama	R	http://www.imdb.com/title/tt0075744/
1766		83.20000017	Cop au Vin (French)	1984	Crime Drama	N/A	http://www.imdb.com/title/tt0089832/
